Playback_Initiator,AgentId,InteractionId,Call_duration,Media_OutputType
15,9,7119511684696506394,940000000,1
15,9,7119511615977029640,2943860000,1
15,9,7119511611682062338,3524660000,1
15,9,7119511684696506376,2943860000,1
15,9,7119511684696506382,845930000,1
15,9,7119511246609842196,2943860000,1
15,9,7119511426998468628,2587930000,1
15,9,7119511250904809528,940000000,1
15,9,7119511422703501320,2943860000,1
15,9,7119511250904809510,2587930000,1
15,9,7119511246609842178,3524660000,1
15,9,7119511250904809522,940000000,1
15,9,7119511152120561666,3524660000,1
15,9,7119511152120561678,2943860000,1
15,9,7119511156415528998,2587930000,1
15,9,7119842037623488524,2408628681,1
15,9,7119843497912369166,1741198602,1
15,9,7119844262416547856,298099122,1
15,9,7119844507229683730,11177904930,1
